BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 0,210.53939909818288,20.725607428917755,1083.5790141229818,1.9481001311758077,15.440005244906756,3.0709510303560257,36.284012325530874,0.9586228391281256,5.5307979620782906
,Point 9,123.71406492473973,5.6851417665961135,1090.0101399525374,1.5718564186353035,15.294898722898008,1.7631184564413744,35.94301199881032,0.9007272846643876,3.079410895209379
,Point 18,117.31401958449032,48.978795298002744,1085.9344613434012,7.226758590860899,13.086729456203225,9.314370225608695,30.75381422207758,0.6008031711255404,2.726347186265685
,Point 24,145.64722071639204,19.143321254728622,1081.2232980189242,2.405232158418262,14.904943215148926,3.7234319120177677,35.02661655559998,0.8805177190742715,4.202787801902207
,Point 31,544.965991042045,45.527403467306584,1084.2729573215643,1.6119202746014496,14.87521421463637,2.4040563915559288,34.95675340439547,0.962059951078555,13.266406565986165
,Point 38,156.74961396388576,16.635936667459983,1076.7434934934017,2.2947896244403054,14.31204328861979,3.0014145221242257,33.633301728256505,0.7832847136692331,3.985664656388128
,Point 41,138.25404020152257,19.481585074234346,1080.6487633007514,2.5252562064793076,14.57093656749525,3.7930065803903217,34.24170093361384,0.6025194269524994,3.769467626126665
,Point 46,141.09854022744625,11.450211676287907,1088.2179620332975,2.862433673258783,17.255680176089275,3.81942805576712,40.550848413809796,0.739626847634118,4.003458368787237
,Point 48,266.08336067933607,46.82895494140233,1085.069164970207,3.8110597126505468,15.553068375561944,5.742552971668861,36.54971068257057,0.8726527132133206,6.478309471010164
,Point 50,504.23066271626186,7.62754201510596,1086.7125349446915,0.39314571902677176,15.991659075719538,0.5547581492290179,37.58039882794092,0.9613500380893701,12.895181879752585
,Point 51,348.8194433235407,20.015836280746022,1091.3059518261095,1.7753167786381656,13.44397722438425,1.8228168149583588,31.59334647730299,0.9699303682732027,10.081126956488909
,Point 52,139.82829892307754,7.320859364457198,1089.634258892556,1.4391276415530083,14.048578369507453,1.6261448074156224,33.014159168342516,0.6155565342214755,3.5139145041928312
,Point 80,133.98028029413678,0.0,1085.0,0.0,18.0,0.0,42.300000000000004,0.7452187003521854,3.53222236692547
,Point 87,186.31854260893522,42.920297507623076,1087.9558583944124,2.4135548417230455,8.769337866235329,2.6167504760530678,20.607943985653023,0.9563441411469895,4.673678217655655
,Point 91,204.98245526477004,2.9190841911608176,1092.892445407199,2.043887203360873,27.665207681592655,2.602444611631838,65.01323805174275,0.6315617334740735,4.420037854930147
,Point 99,104.37564269428592,0.0,1085.0,0.0,16.318843312182864,0.0,38.349281783629735,0.6195407782407629,2.8351167659320025
