Point,Height,Height STD,Mean,Mean STD,Sigma,Sigma STD,FWHM,R^2,Stowed SNR,Silent SNR
13,276.7289559,47.05638201,1101.809475,3.342398425,17.02600511,3.342493478,40.01111201,0.741945701,2.896373356,7.606547992
23,193.4042923,66.20464193,1096.607233,4.864509651,12.30447235,4.863925307,28.91551001,0.599313116,1.999598329,4.420668969
29,187.7324935,47.47111159,1084.060419,6.718933197,23.00698515,6.718365783,54.0664151,0.651431249,2.32632368,3.117221396
31,246.5032974,39.78756008,1087.201355,2.702055844,14.49562765,2.702196619,34.06472499,0.8633169,2.507217782,6.426829412
34,207.1742676,86.30518022,1091.954128,6.85046273,14.24366563,6.849791564,33.47261423,0.760652223,2.629420667,5.274415938
41,206.6800784,66.771714,1097.751969,4.424821231,11.86597753,4.424411217,27.8850472,0.880724176,2.226581247,3.316310541
71,212.7547075,64.37470056,1086.440278,4.505815199,12.89730409,4.506188046,30.30866461,0.748850627,2.063662967,5.262547963
