Point,Height,Height STD,Mean,Mean STD,Sigma,Sigma STD,FWHM,R^2,Stowed SNR,Silent SNR
0.0,2409.371263056871,144.49545206477745,1151.4799471994584,0.5810271992041279,8.430314222171111,0.5865551727171712,19.81123842210211,0.9009634878613032,38.5442534135137,89.50708895842399
1.0,167.55546348259108,4.792290524077691e+19,1089.1690241948352,1.1531566853961909e+17,1.2076395443798813,3.1470341780377868e+16,2.837952929292721,0.0,0.7784171565088064,2.590507637483475
2.0,83.18786740965437,45.89834701019527,1095.1391795605332,4.925610728880799,6.518748076211843,3.9332101740181384,15.319057979097831,0.99640178421222,0.9023346214768591,2.205269551567118
3.0,143.07052000947525,44.46182169253725,1095.2278903352158,6.576095639667317,18.323540572500775,6.57608964604173,43.06032034537682,0.2473622808203393,1.8857481961888747,2.6172498480376505
5.0,114.51755030167591,55.11767044313443,1081.5401521095635,10.304275626949934,18.536385023202865,10.303895656247644,43.56050480452674,0.29797129822616664,1.9808822190168842,2.185519196771083
6.0,197.27586755963958,26.64377472164485,1068.9429380595773,16.958049245871774,101.19185421899321,22.125086634937837,237.80085741463407,-0.04172522879998053,2.648387765942267,4.263623923697411
7.0,604.2291004674674,640.7146306825091,983.3522810002785,61.780613581994416,-41.54100484503936,68.67155455318195,-97.6213613858425,0.0,9.270770109294089,11.979064678886916
8.0,1102.3439337559537,144663633.62936568,1092.3992144924548,57107.741576505374,2.334354367636356,74125.44121759137,5.485732763945436,0.0,15.560520322411161,21.759172046618506
9.0,132.99543141844057,41.98923569961051,1095.5374816846675,7.529560099232501,20.65835844463139,7.529809777927138,48.54714234488377,0.7638947449661154,1.9668258964779795,2.0578812411286957
10.0,288.4788054676886,318.37306082478193,1089.0039639480685,31.365365432028618,24.628403937169754,31.364229317120593,57.87674925234892,0.4444350527139894,2.961807947697046,6.929039689584635
11.0,205.67701092798004,63.9938791607979,1079.073827823339,3.5898204539533163,9.98847448192763,3.586455873795945,23.472915032529933,0.8848388539464169,2.984785707249888,2.8986597302003467
12.0,325.5180879789941,74.88115727404806,1097.6279726630205,2.048791860842173,6.871541763419098,1.7388603311064323,16.14812314403488,0.9995781728055902,5.020749126363619,6.938303294670257
15.0,182.28336272584178,260.5860907056935,1073.5144331175495,72.02306149435974,43.62479401010849,72.04798581738672,102.51826592375495,0.3434007977643345,2.270358221647401,5.646672907130449
16.0,394.34990817037266,13409601.112374006,1090.8383649223833,13435.694750074883,2.589115336911651,26219.845210514446,6.08442104174238,0.0,4.223145265415716,9.662776306844213
17.0,207.77080456065016,106.19528205660666,1098.9326721986815,3.765321945101875,6.39541902740042,3.937252853216035,15.029234714390988,0.9996736221152873,2.477326541461805,2.941109585386142
18.0,180.8965155595814,64.02710293436618,1094.5961034829702,5.102791388782027,12.486515633255946,5.101978665352982,29.343311738151474,0.8175640958392016,2.1984807900362155,2.612517398507782
19.0,76.20020042489357,53.710229993766326,1072.4444927117734,12.398323744242562,15.220325840261497,12.39680905204654,35.76776572461452,0.18935531696643848,1.2328676363961277,1.4907036402291722
20.0,174.33157040030883,46.49233022708946,1104.4128342480653,7.231874273186588,23.483549542143614,7.232529477007285,55.186341424037494,0.3313913135244472,2.41035725975809,3.920064406882254
21.0,986.8330341011106,9896916.883934762,1091.5130217140602,86.13978407519657,2.7472165987033,9061.475232488308,6.455959006952756,0.9999243597571694,16.996324401177212,20.11296295703034
22.0,180.7901925098913,145.42544561865975,1080.0608845433542,5.022742080201938,6.109565800558004,6.134708612195629,14.357479631311309,0.8418317058094126,2.009341960904187,5.380447029925711
24.0,196.90531762162914,94.13555626718372,1087.5924269438933,5.23952156923597,4.98601138261344,3.0730147046269978,11.717126749141585,0.9999942009281363,2.2328005434453675,4.251557211048539
25.0,557.4604552966036,12843466.50891994,1081.6515672193877,2612.809320425918,2.66222127623925,18913.385382591656,6.256219999162237,0.9999997133548357,4.949126767836676,10.152797763699738
