BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 13,211.8475197,15.65677695,1075.048128,5.53204287,18.3102188,4.71512478,43.02901418,0.942614836,6.181420896
,Point 19,246.3526056,23.54199458,1083.516763,1.082402398,9.557198766,1.190271163,22.4594171,0.972545895,6.54271806
,Point 26,176.1991645,5.874522022,1084.171223,0.380646195,9.70861484,0.418364456,22.81524487,0.99661266,4.71643032
,Point 36,92.90342955,8.509809892,1077.331651,12.01923035,26.55900181,15.08315908,62.41365426,0.636042714,2.535136471
,Point 51,264.118014,78.37778425,1092.147439,3.91373616,10.91581407,4.577429704,25.65216306,0.83013136,7.671212297
,Point 55,196.0437866,3.168773,1074.842367,0.600956445,9.834528896,0.52979542,23.11114291,0.971798008,5.588015287
,Point 67,168.3246231,2.627204338,1077.573523,0.247191464,9.169892182,0.289532517,21.54924663,0.983126147,4.718973758
,Point 77,149.5372321,15.00147127,1079.578533,2.729883422,13.35718264,2.94872831,31.38937921,0.807736233,3.569563326
,Point 98,141.6995511,44.43266166,1089.722222,4.387418306,11.92949874,5.434928355,28.03432203,0.71708104,3.129230337
