BLANK,Denied Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 2,240.1834219937992,218.89550487641205,1089.5700148305489,4.714531404992951,5.1836947712691765,5.678561601235145,12.181682712482566,0.9999996890785152,6.2534652697305875
,Point 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 20,2038.020660878996,93023.30776921332,1261.7533946095332,3297.6123477979577,80.03712804898582,742.0194564570658,188.0872509151167,-301.7871943743356,67.20478538341138
,Point 23,1561.0771589314281,382844161.82620806,1091.6543381401086,18780.676732950174,2.4045312650662765,146297.93851396567,5.65064847290575,-inf,43.06240640599606
,Point 24,136.27835307566502,259.0043690816325,1059.514315285696,317.8839532205282,38.808466392827775,285.4723271209265,91.19989602314527,-0.26862566798858833,3.9324402975392054
,Point 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 28,174.15290528676982,53.66270066758192,1098.0866768598473,14.52536475604323,11.750003014388271,9.630802289440615,27.61250708381244,0.09725305300410947,4.949649050882681
,Point 29,809.8914568110899,257422156.1524478,1082.302852706303,74862.15257668917,2.403665420689453,192095.17193415517,5.648613738620215,-inf,18.87896543697598
,Point 31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 33,148.67856433590288,73.87726686915305,1079.4522758005337,17.31738174357033,21.400422236412687,37.00058940513965,50.29099225556982,0.5398299023925195,3.8546021610476586
,Point 36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 40,126.1659050905697,1.434996321188543,1089.7245087889512,3.738794027607312,48.27449801375211,10.247801057400903,113.44507033231746,0.017659964758133362,3.78412190123242
,Point 41,173.21739891529123,60.83481001352547,1083.3700721815264,3.2906014242127575,8.297146549332055,3.4824961631806346,19.49829439093033,0.803580526159421,4.722736323230196
,Point 42,179.79605000918096,3.175739019672716,1089.4006478628667,0.15385789484545728,7.663035026504055,0.17589713172984786,18.00813231228453,0.999961456867334,4.534987704386458
,Point 43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 46,159.6481447394347,47.22809903348936,1082.3204862676855,4.077586049948173,11.880284514635077,5.035774957339089,27.918668609392434,-1.0406383535357642,4.529775432744843
,Point 47,176.43281635566848,15.586164646133435,1082.9641959939843,2.4238089313789017,19.373972613949608,4.9411402692128865,45.52883564278158,-0.02690518199580616,5.244926870601769
,Point 49,190.94854844307332,128.58129112968481,1088.458680478753,5.929890906122815,7.253675464710485,5.7644501515650015,17.04613734206964,0.9369660444087438,4.5148616054713795
,Point 50,155.7141242599984,30.663309190970647,1075.0554489275967,12.979392171484182,23.10721544355751,20.503090735257935,54.30195629236015,-0.10555915832674101,3.9822289718802444
,Point 52,1283.3988349339838,474566002.25952864,1091.3272692123003,32106.835843460554,2.414149269054201,224235.68410121364,5.673250782277372,-inf,32.252082128379584
,Point 54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 57,765.6791536436714,36200464.658033445,1081.1996530894464,16827.550002124808,2.527747499019525,33443.69672875233,5.940206622695884,-inf,21.103653562085753
,Point 60,167.38088158225654,3.358195096983969,1092.3974856901234,1.4072082273759692,19.23174567027518,1.4543837700344444,45.194602325146676,0.16956679020901178,3.852877144359934
,Point 62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 63,1895.4818343157208,1403644853.5002823,1091.3975903776682,37335.31096583593,2.3857937869047374,434442.1146645456,5.606615399226133,-inf,52.75312692550348
,Point 64,323.2304503407309,174.49711749281403,1089.7786773896792,3.2142634671910666,6.055574060340471,4.1888788765741065,14.230599041800108,0.9999588779605094,8.447605190560282
,Point 65,284.02355043164783,43.52130401950242,1095.704048298992,7.41619195956133,8.025354206147995,6.321954229989036,18.859582384447787,0.8462007949524888,6.16952005647385
,Point 66,137.59695979264353,52.11451703883151,1083.255182575459,23.27382510574889,30.470757256769744,75.93178970536502,71.6062795534089,0.26478470753930106,3.6146908269924696
,Point 68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 70,185.66378941969597,13.348392884596523,1086.595693469243,1.5145752912526025,14.313130105734391,2.009839960474081,33.63585574847582,-0.8489088204838215,4.082266052901343
