BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 0,322.56704504478085,7.305301348991462,1090.361037476197,0.6820557525237388,14.074216819363066,0.7392041235517548,33.07440952550321,0.9519153634620812,8.473725882229365
,Point 1,255.03508267582515,38.279575848566274,1085.5972415716058,1.9988752321476533,11.050062603591075,2.34969658287299,25.967647118439025,0.7371023499066464,6.699875498845809
,Point 4,275.2634869057525,86.23892213197152,1081.723617418005,3.4421968873551716,9.620830649227878,3.7070692825332654,22.608952025685515,0.737547543562732,6.8546236280218045
,Point 5,340.6586156247521,2.5883711287013904,1091.2273842433792,0.19962534904770052,12.490545116914294,0.20854160861926269,29.35278102474859,0.9519236354686657,9.185525935376079
,Point 6,238.3965277268579,46.83666415951169,1077.628522655191,3.273940399737909,12.734867789888309,4.144438695437683,29.92693930623753,0.8322595236425772,6.418317714388521
,Point 8,161.1218430756695,34.774029937519025,1080.10596430256,6.093795486338544,19.39563255415782,12.176997850731862,45.57973650227088,0.7483945768658143,4.290611860388939
,Point 9,255.300976159769,54.67452145194208,1094.5610603231498,8.635981497021763,11.89759673307794,7.445916412077146,27.95935232273316,0.8288106369733489,6.354787614668111
,Point 10,212.74575704260167,48.47150379102441,1088.3889349138483,9.02261735058542,18.111537409807553,12.228166202355663,42.562112913047756,0.8614740573685922,5.599002238469954
,Point 11,154.15002856010784,68.76750644859074,1079.373708153475,5.562525609420437,10.692068932486004,6.367767120711539,25.12636199134211,0.6039612132597403,4.417998881016069
,Point 12,147.72639125196338,26.05124085932278,1082.9602408689748,3.153801200804675,14.56045072440858,4.736690174535806,34.21705920236017,0.9164050452976806,3.580426754488943
,Point 13,284.0453401292522,0.0,1090.0,0.0,18.0,0.0,42.300000000000004,0.7418767574910362,8.27327873812298
,Point 14,360.0,0.0,1095.0,0.0,22.0,0.0,51.7,0.7083471022339602,8.836089617169254
,Point 15,238.62158187311758,47.75455567443678,1078.6134268496307,2.7149279443028416,11.332129102866219,3.2338247365690154,26.630503391735616,0.8542811010264538,6.684539648676993
,Point 16,220.0,0.0,1087.0,0.0,18.0,0.0,42.300000000000004,0.5908743039246582,5.7580479457256954
,Point 18,287.6168920409249,72.2170860238981,1089.0220732170956,6.546011612456389,14.165269918048605,7.66362737695579,33.28838430741422,0.5094468432452061,6.684141478704612
,Point 21,286.57478766285203,14.472151592288244,1091.4381547206756,1.3175210707829108,12.277800250181185,1.3672304333735226,28.852830587925787,-0.6492285684530341,6.999462429959777
,Point 22,218.3740442863543,50.37911737883928,1087.9611228852775,3.035108776398999,10.341514710657428,3.5234645609417345,24.302559570044956,0.8547814502881136,5.2099049766744505
,Point 26,288.20403729304036,24.99957801459064,1086.3531044944762,1.4954941798409198,12.855723341599985,1.8891996238332973,30.210949852759967,0.5542601997896963,7.6747641694158535
,Point 27,216.10426081541354,64.09532318097617,1092.353168625629,10.080401804631773,13.107235890376076,9.762699847830566,30.802004342383782,0.7570406045728124,5.649838536261952
,Point 30,200.0,0.0,1093.0,0.0,16.0,0.0,37.6,0.543093601315657,5.342256090934216
,Point 32,310.0,0.0,1095.0,0.0,10.0,0.0,23.5,0.9308852774052476,7.910432264277911
,Point 34,240.0,0.0,1090.0,0.0,20.0,0.0,47.0,0.7569255705065425,7.414678419261281
,Point 35,219.95430231969488,109.0112197430008,1078.1746914923965,5.439437083756039,9.394184603053231,5.845411857639792,22.076333817175094,0.6765030646459523,4.997436855930315
,Point 38,295.44516175040155,24.793057967169382,1091.391504124627,5.46548930354663,19.482935726837464,6.12165553304755,45.78489895806804,0.5181536921318135,7.5122694679219375
,Point 39,254.58899558917528,5.1697319211344075,1089.1015759232018,0.2779663254216604,10.203022483797263,0.32402312386058535,23.977102836923567,0.7717006263255227,6.037590006921435
,Point 44,260.35374642820045,10.389098627919969,1082.5935508702194,0.395872266132205,8.773977204840127,0.42135347777475496,20.6188464313743,0.995499243603754,5.5767348595130715
