BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 26,125.06000637708372,5.563748656580484,1088.776242891789,1.5492866036665747,16.593799842355427,1.9456994941905648,38.99542962953525,0.68920282864119,3.3303005224519038
,Point 28,121.84449004282524,21.041168712271993,1089.0527742290838,2.8354955765462835,11.236556783102008,3.287191716489479,26.40590844028972,0.9335248371247329,3.462976764600493
,Point 32,122.37202330107849,12.755328626208156,1075.2643513045168,1.448401248350332,10.542788348797732,1.6890045703063283,24.77555261967467,0.8366934159394335,3.122630972147805
,Point 57,253.1884965216343,26.684446808128296,1083.557457720801,1.0253787452771408,8.546532446592488,1.0774482485845405,20.084351249492347,0.9736491171404417,6.978382904994853
,Point 66,152.81737532427212,33.61924335609438,1087.6280486211629,3.236069714987789,11.176801121198347,3.8172195211619027,26.265482634816117,0.8933625002676877,4.01453321077843
,Point 71,253.75886576034785,30.252476618175706,1080.2972696102343,1.532152271747627,11.085320259043392,1.7904862906504648,26.050502608751973,0.9287857621814418,5.973100517258981
,Point 77,200.23274908102147,18.90363880431539,1084.7641922781118,1.4539725159667067,12.540389906645125,1.8589590262215179,29.469916280616044,0.9224974354949682,4.767446635605031
,Point 83,167.48397503349756,20.765308575389327,1085.4480501469352,1.6798770410728314,11.229451119909884,1.991661613358305,26.38921013178823,0.766864928865908,4.696090651948435
,Point 90,262.59282931204035,47.17845461273379,1083.5964999424862,1.867730262526009,9.079841930431268,1.9771217778792214,21.33762853651348,0.920070668334458,6.613148729555164
