Point,Height,Mean,Sigma,FWHM,R^2,SNR
20.0,67.0,825.0,18.0,42.300000000000004,0.46380556824625074,4.88034779204822
39.0,110.0,828.3566172462191,9.067848819277444,21.309444725301994,0.6402903876652726,8.012511300377675
50.0,158.0,832.0,23.0,54.050000000000004,0.6383300977219348,11.508879867815207
69.0,211.43405159115534,839.2622990622535,14.65201907938902,34.4322448365642,0.8490801120024268,15.40107025144335
76.0,100.0,840.0024390841879,10.0,23.5,0.5552102661925031,7.284101182161523
99.0,135.0,833.0,29.0,68.15,0.5024633047298596,9.833536595918057
