Point,Height,Height STD,Mean,Mean STD,Sigma,Sigma STD,FWHM,R^2,Stowed SNR,Silent SNR
19,217.2928274,37.95239903,1090.491137,3.768323671,18.68508386,3.768286838,43.90994707,0.546468292,3.515650785,4.020233841
30,235.6429676,72.8291635,1090.278128,4.166981321,11.67204395,4.16685823,27.42930327,0.560886865,3.606312824,4.533074504
67,169.8655534,56.12367532,1087.930705,5.739369874,15.03975651,5.739518891,35.34342781,0.786067879,2.461914367,3.50380177
74,184.5214205,27.91639946,1094.229462,5.33201771,30.52582768,5.33209808,71.73569505,0.631510157,1.586228777,3.00560565
81,187.7296696,53.3780097,1087.086137,6.202164547,18.89119967,6.202052551,44.39431923,0.638710948,1.830506714,4.077563291
86,198.9177555,62.42064776,1091.465232,6.618428666,18.26005318,6.618360483,42.91112497,0.572462758,1.740703551,3.206031108
97,267.5087171,64.06165282,1091.48814,3.241409895,11.72275339,3.241367414,27.54847047,0.915024454,2.838602463,4.865525448
