Point,Height,Height STD,Mean,Mean STD,Sigma,Sigma STD,FWHM,R^2,Stowed SNR,Silent SNR
0.0,412.6373230961807,52400301.57598802,1082.6190414850169,53879.516643674986,2.4546854614001745,84107.46053430105,5.76851083429041,0.0,6.601223229131582,7.240057175086327
1.0,92.08739339110939,21.9934668513426,1043.244195727644,25.710080376521525,83.49039090520719,29.45858129345736,196.2024186272369,0.04791922687080086,0.42781300844459175,1.9058172725649936
2.0,112.7597668956883,28.67773352336135,1049.0397072330852,14.187357535772183,48.34300970583673,14.38407694900262,113.60607280871632,0.25511927200894224,1.2230995305913024,0.1510961738756388
3.0,148.30750401991455,27.84045472036994,1106.8936829041645,9.16212861850174,42.27705472876101,9.168557742011343,99.35107861258837,0.3048891038146767,1.954774527752511,3.2240931012445304
4.0,270.83421113791525,69.337421439049,1081.297994135546,3.1961766448657514,10.821530971037435,3.2009289026586494,25.430597781937973,0.16915858253335048,3.6676466689068934,5.250332673702496
5.0,789.3056985276086,1430.7167493999843,1166.3667701818258,95.4602485288059,44.11725904549563,104.55592325073789,103.67555875691474,-8.346194833209973,13.653117967186901,13.330413349646893
6.0,122.80853980681755,inf,1086.0371110440929,inf,-1.3047348358916453,inf,-3.0661268643453665,0.0,1.6486792753770705,2.1748816357388545
7.0,112.38774956456079,34.70070863547227,1090.9014072936131,7.912676430637245,22.199654544448308,7.912596548489013,52.16918817945353,0.11113376474954328,1.7243806835981055,2.388705601689857
8.0,147.12188894699023,68.64515312543244,1095.4425385143636,5.715118225918668,10.602706303877667,5.706081063767508,24.916359814112518,0.5783488895488071,2.076750343271706,3.38232639467166
9.0,339.8236790346407,95.9461143536922,1076.9516301588956,2.6197561172996755,6.966167315738816,2.0995908090377253,16.370493191986217,0.9959618000934591,5.025541141025077,6.304782492394827
10.0,109.55676265484111,41.40162962858941,1083.5658413312183,9.593560949553652,21.973693581289215,9.592776003178395,51.63817991602966,0.5647064696124373,1.124817782814245,2.1033299094882074
11.0,123.79922635942239,74.65384758780993,1055.7325068253865,8.976484413382448,12.885264950120474,8.97534484906668,30.280372632783116,0.21634025228540865,1.7965749294926636,2.8371237697104976
12.0,125.4683284826563,55.98375966127099,1084.040033839904,5.260209205661292,10.215185661129642,5.2643878138169935,24.00568630365466,0.07212316006917929,1.9352073629046718,2.340680751428409
13.0,700.0724747163808,27251440.505193356,1081.7857326922006,1143.3264204689544,2.617972156633256,30309.362712171267,6.1522345680881525,0.999997388850806,7.327282597065528,16.09692887296741
14.0,122.01296535661048,34.5100348855829,1100.9332275217894,11.49375004925095,35.19952691684138,11.49410061738634,82.71888825457724,0.2537222329078924,1.4801233431231553,1.8061243110765037
