BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 15,168.5276761,13.75088911,1080.16521,0.887177682,9.477897151,0.950871168,22.27305831,0.9769333,4.720989291
,Point 33,209.8235121,52.52953425,1075.656076,4.035215942,11.61797309,4.77057083,27.30223677,0.841564979,5.439830327
,Point 42,186.478806,0,1085,0,11,0,25.85,0.728700625,4.70354656
,Point 44,310.2591833,111.9877625,1083.296727,4.599805579,11.00752716,5.347833281,25.86768884,0.641542387,6.645701192
,Point 63,188.897359,9.227622632,1083.381904,0.55429885,9.876195115,0.604249146,23.20905852,0.991377991,5.257199608
,Point 74,206.4415596,54.61716226,1082.531157,3.533954649,11.54117735,4.257489082,27.12176677,0.720178878,5.585634465
,Point 79,115.5094829,4.969295119,1090.819051,1.534387073,14.86615874,1.625218837,34.93547304,0.665380856,3.07948836
,Point 83,180,0,1083,0,18,0,42.3,0.546853628,5.047028035
,Point 85,153.5639336,8.829502846,1079.525532,0.852051379,12.35725226,1.082932196,29.0395428,0.977085663,3.807967622
