Point,Height,Mean,Sigma,FWHM,R^2,SNR
5.0,213.84975112724493,1081.0975969143178,8.985101569747,21.114988688905452,0.7249615062214381,15.948557424727973
16.0,186.96653836641147,1088.3776207798553,11.47091494443538,26.956650119423145,0.9845018411167836,13.943652297565968
20.0,189.18438467333144,1071.353758096409,27.996034756389783,65.79068167751599,0.6557547320304552,14.109055572522726
30.0,165.02963731616907,1088.9818963222792,14.325631507447106,33.6652340425007,0.9555217773500738,12.307634840093261
39.0,109.58190495070217,1078.1016328828246,9.988252066686524,23.472392356713332,0.7996488178137091,8.17243552823896
42.0,207.03160082040287,1083.7147974074612,17.647342143874113,41.47125403810416,0.8891522369752944,15.440071157496384
47.0,313.5838764309626,1082.7935858638568,16.070480411483352,37.76562896698588,0.9233825016297598,23.386561987402953
48.0,224.8558890904677,1071.6389070244452,10.4922839184739,24.656867208413665,0.9374051102955854,16.769376819680144
52.0,240.73511464156655,1077.0394781248556,15.701589826086787,36.89873609130395,0.6864784320210269,17.953622951494523
61.0,205.9681170929009,1073.6063789216462,12.079530176478888,28.38689591472539,0.8305559924255654,15.360758316546494
89.0,172.91554006079951,1078.0168424777285,11.815254780206587,27.76584873348548,0.6029009139853219,12.895752301561448
