BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 1,171.14535973943688,11.404996686441567,1077.2114621282558,3.43241270951596,15.922255505375135,3.2317258394310406,37.41730043763157,0.6979161644541945,4.51880762105475
,Point 2,225.60493715664697,18.264753680187326,1081.5943572054862,1.3262157667649046,11.534677686772143,1.5561186798814648,27.10649256391454,0.8294182871335833,5.90392135859231
,Point 3,287.5050827436434,57.6759001045606,1085.4373299982524,2.5009270486720725,10.654442760447528,2.8616830910388646,25.037940487051692,0.8710332042937934,6.2944601517368834
,Point 6,160.0,0.0,1075.0,0.0,15.0,0.0,35.25,0.8138632255285088,4.329274483717698
,Point 13,243.79464401573128,33.03857074906325,1080.9826309754428,1.9273963660487239,10.44863638540394,2.245250084102803,24.554295505699262,0.917652225550911,7.113594292545704
,Point 16,336.3683979154834,64.22071858526782,1082.9186867539017,4.097288303528812,14.14321763720483,5.290829416060078,33.23656144743135,0.8109279190495217,8.843972216647423
,Point 18,160.1004261073366,0.0,1079.3648325941901,0.0,28.0,0.0,65.8,0.7514614467976206,3.738890952996916
,Point 26,148.46170160950425,0.0,1085.0,0.0,20.0,0.0,47.0,0.8634336669016012,3.9739647627016708
,Point 41,173.46873762417914,10.007823144869507,1083.7295896793248,0.7641972658186043,10.84827239158831,0.8924023835875633,25.493440120232528,0.6439781499733095,4.753273203761153
,Point 48,196.0676647890916,18.716428492347507,1083.0645592764374,1.8534366495555266,13.465034230758784,2.3531519646739056,31.64283044228314,0.6076968148202884,4.798432957964114
,Point 49,251.58594340585077,10.373047819615595,1082.1015111017355,1.952622862203389,20.437716365819387,2.9921418316357595,48.02863345967556,0.7801725976495408,5.979497698333458
,Point 50,404.64917556129774,37.104360625777396,1083.0862090652715,1.9276594990144507,14.092671626632846,2.5033518489011604,33.11777832258719,0.946579201643672,10.382877886701475
,Point 51,407.4043813139885,7.5356008205443095,1077.2118630189022,1.5786942074838035,21.02289135693691,1.6675898380658536,49.40379468880174,0.7197296070549397,11.832913071733534
,Point 55,255.98451181181235,39.79462032816077,1094.0198679100836,3.521537145225706,14.12714277933992,4.415122307797754,33.19878553144881,0.8693180218410919,7.296560581955354
,Point 58,163.70028893041297,44.75592875735459,1079.6814471698622,9.007668004962822,14.746179300441684,9.83997878119042,34.653521356037956,0.7961331506924145,4.859446648080989
,Point 70,371.18403204836744,31.92774454443815,1087.8052086348384,1.7143922161587382,15.872721816735922,2.847997253800889,37.30089626932942,0.8917709149189316,8.203758960247534
,Point 88,200.0,0.0,1085.0,0.0,18.0,0.0,42.300000000000004,0.5072014800541063,5.367495074107172
,Point 89,323.0681407779902,31.870840271455773,1080.7258162895905,6.8901216269513075,22.82011639003602,10.170518699435501,53.62727351658465,0.8703777386542121,8.256066975331125
,Point 94,180.19370848508257,26.30374630458553,1080.0898059194824,5.959341578531588,16.79539162925713,6.944977119301559,39.46917032875425,0.8973459006245299,5.244785474766422
