BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 3,279.53940437405055,43.81974660651095,1091.194293347047,3.701644065545522,11.905505312703955,3.927005771267808,27.977937484854294,0.6765650290616407,6.140212651745312
,Point 4,244.73259733651196,40.1263399417075,1091.401153725349,2.1044008487308052,9.009643671176255,2.581796469597836,21.1726626272642,0.8639296227073467,6.094342054252832
,Point 8,242.8189513691679,14.231640887172562,1085.678007183095,1.1481641592373506,14.267010220699225,1.5780437819526627,33.52747401864318,-0.029561786038877047,6.4661740008923845
,Point 12,185.88328668195857,57.81221051515873,1088.5484184706127,5.060467416069395,11.42471101572497,5.919668736823489,26.848070886953682,0.8229476355003199,4.505230833895276
,Point 15,185.7160465629026,38.154491318060195,1076.7064537965082,4.758184387001578,14.836910659906351,6.332441537210672,34.866740050779924,0.6434243385255919,5.202489510380371
,Point 16,347.41567216459345,5.881210461913711,1085.6762547961077,0.2344178817270995,11.354479844901237,0.27968223724882335,26.683027635517906,0.6919427700739748,9.092891351910223
,Point 17,221.30996933295282,42.929054437613914,1077.959387329821,2.8006613410012307,11.692135516831138,3.3947644967554558,27.476518464553177,0.9032706641111186,5.639195929458255
,Point 18,217.73008757374075,14.65939293815476,1091.6064321899191,2.616724121729978,14.767728575575752,2.6341199496842944,34.70416215260302,0.9791137118487917,5.0599903892520635
,Point 22,264.48075749307566,2.9195149518390178,1081.4792817304385,0.2787850397157223,18.6066034918849,0.5517431442987107,43.72551820592952,0.7523745471283989,6.309905644697109
,Point 25,201.29377822803585,9.861132846089792,1083.6357414300726,1.0282478810001703,16.03898466843244,1.6820826289790496,37.691613970816235,0.8498604482836138,5.353689402756446
,Point 26,235.4978150486772,0.0,1085.0,0.0,20.0,0.0,47.0,0.7249377269971636,6.271217467622043
,Point 35,193.88402978890318,1.0142332106327543,1087.3972789337959,0.16643589309207613,17.158154840517597,0.23486983668237865,40.32166387521635,0.7157826379367996,4.405111361882179
,Point 39,275.13061819085766,79.0620466257227,1090.1785227324592,9.17950885051535,14.641907786292807,10.099836937297754,34.408483297788095,0.7732149573001751,6.524735553251333
,Point 40,182.02513190157126,20.818286831016334,1080.1680259304183,1.878153869597592,13.53815255971868,2.6049661218720983,31.814658515338902,0.618919696258508,5.459520047900333
,Point 41,196.57533774690856,29.450443704261705,1087.4882897912535,4.200072840503372,15.978801608029183,5.644797569767683,37.55018377886858,0.6885267036289922,5.35958566311559
,Point 43,181.3586235115731,45.15842125083736,1086.0022538727515,2.9755609680971897,10.074530330029656,3.345021729422208,23.675146275569695,0.8094631877873173,5.221906401055348
,Point 51,228.222690954419,26.05576350953114,1082.0444342974665,1.7857853236635923,13.236455596070417,2.4455526188941503,31.105670650765482,0.9376253502574373,6.595796094224663
,Point 57,133.41895941077226,0.0,1075.6690042380176,0.0,12.0,0.0,28.200000000000003,0.517541255255276,3.6772941833665795
,Point 61,321.8398610134377,99.22119382495053,1082.750759045994,4.999091703699265,13.557660253954987,6.9943281888808775,31.860501596794222,0.6827887731268503,9.475127044760404
,Point 71,197.4185800310574,77.29763027997751,1079.7688577941492,9.299183840206567,17.23612748566088,16.221631797396288,40.50489959130307,0.6708720734228822,4.646935266544305
,Point 73,160.89617591953262,4.825733456365126,1081.7185742302015,0.35593562438271714,10.349746729861634,0.39630991347717714,24.32190481517484,0.9960925109470717,4.612187487948901
,Point 80,240.0,0.0,1076.712046539531,0.0,16.0,0.0,37.6,0.6835452155930066,6.327299556330389
,Point 83,261.96039068472527,18.786306424459973,1079.5994389143382,0.7073566983385263,8.58416873064401,0.7349208202468334,20.172796517013424,0.9856532002538053,7.345119087538103
,Point 94,240.0,0.0,1090.0,0.0,10.0,0.0,23.5,0.4130375132517542,6.949969286731867
,Point 97,202.4762725861212,51.31023551698937,1079.4375918991216,9.869085262902228,22.770971411981208,22.430551057254682,53.51178281815584,0.7162564696444138,4.94685902215828
,Point 98,234.44683050067752,73.48924139327352,1089.1276115303092,6.684448370858674,12.754801602068435,7.693590410851906,29.973783764860823,0.6822361854307796,5.152018838973458
