BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 5,163.18733170114157,13.10864720811389,1084.8224022031325,2.3300331910471184,18.712689153499287,4.200915823585141,43.97481951072333,0.7852876353981916,4.400186576572059
,Point 10,164.23129743661872,36.856460061549825,1085.1957606763729,4.198791363875923,14.12261684780684,5.822641917081981,33.18814959234608,0.5246434359015754,4.322207947913714
,Point 17,130.8774461906446,10.213527945380795,1081.5006434168247,1.2115531813964355,13.151554994729391,1.6481201648047643,30.90615423761407,0.7509342958868289,3.3348861962283096
,Point 50,217.39802862754834,29.756889194270432,1087.9454631468195,3.2431235601618646,14.28786959382906,4.030912664360331,33.57649354549829,0.8508493097394967,5.559731541017772
,Point 54,206.8633369305725,102.79368875205395,1099.110424114329,23.674727613031944,13.610421918671099,14.800055617779424,31.984491508877085,0.6288731375855667,4.367447608883556
,Point 63,151.39217617863403,12.266956811416687,1079.9625199584573,1.0487821689598789,11.120531220442532,1.2295294345786938,26.13324836803995,0.9664500149898138,4.213393418440648
,Point 66,177.85920670783614,22.852867815585988,1090.6569495207295,1.8911786679419427,9.910601481364035,2.2027887217160544,23.28991348120548,0.8949168881212768,4.672385523283524
,Point 83,245.797383622077,9.068938362754379,1086.824823666322,1.025235525865245,16.483984417760375,1.4655107605687234,38.737363381736884,0.8927486751906528,6.8919238110401695
,Point 98,185.1916585248795,34.38981753458318,1077.4146473010792,2.8958699841708935,12.12103709311308,3.5596430422684016,28.484437168815738,0.6931262899079335,4.069625985147031
