BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 16,306.20882947801016,18.950924950649085,1084.4014674846815,2.5690553918359877,23.39329833534578,5.925839503554763,54.97425108806258,0.5592120644648465,8.014386916086028
,Point 35,163.71084365944483,25.772917667567103,1080.3513939594968,3.1645365502892306,15.710180244421789,5.111366938276002,36.91892357439121,0.5689623817679383,3.719566269861041
,Point 51,189.06691447185523,0.0,1080.0,0.0,11.0,0.0,25.85,0.4404402715358451,5.464166647082578
,Point 56,187.01251033838625,23.195312296685373,1079.1400708740866,1.8849293419041044,12.492912362678991,2.4089588513441984,29.35834405229563,0.9342354895109543,5.315894651741701
,Point 63,111.15397097545276,36.30445073207859,1077.5723069195367,4.168010355989097,10.595986772756211,4.807476419249739,24.900568915977097,0.8255916681343107,3.0935245239417575
,Point 88,252.09690353958294,59.5222232253721,1074.1129409028733,3.4239542758046073,10.338928781774262,3.9817176759719466,24.296482637169518,0.9449281949238405,6.7318189329786415
,Point 92,147.61312729369027,30.357169837315983,1086.711096094186,2.2291059393353563,9.150964748465837,2.3970633864047395,21.50476715889472,0.9309904277233748,3.755562023067857
